,programTitle,infoCat,region,url,description,organization,contact,page
1091,['The Cheese Support Program'],[],[],['https://www.mapaq.gouv.qc.ca/fr/Transformation/md/programmesliste/aidefromageries/Pages/Appui-aux-fromageries.aspx'],['\nAims to consolidate the development of Québec cheese factories by improving their competitiveness in the new business environment.\n'],"['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-866-680-1858\n\ntransfo@mapaq.gouv.qc.ca\n\n'],27
1092,['The Cost of Raising Replacement Dairy Heifers'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/livestock/dairy/facts/11-055.htm'],"['\nA high herd replacement rate and calving at older ages translates into more heifers just to maintain milking herd size, and the cost of raising each one of those heifers has continued to rise. Replacement dairy heifers.\xa0\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1093,['The Dairy Expansion Workbook'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/download/wkbk_dairyexp.htm'],['\nThe Dairy Expansion Workbook is an analysis tool to help determine the feasibility of a farm expansion.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1094,['The Equipment Lease Analyser'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/download/analyse_equip09.htm'],['\nThe Equipment Lease Analyser is an excel spreadsheet that compares the the cost of leasing equipment to purchasing.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1095,['The Farm Financial Analysis and Planning Workbook'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/download/wkbk_ffanalysis.htm'],"['\nThe Farm Financial Analysis and Planning Workbook is an excel worksheet that contains a full set of current and projected financial statements including a cash flow statement, debt servicing and inventory worksheets.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1096,['The Farming and Food Production Protection Act (FFPPA) and Nuisance Complaints'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/engineer/facts/05-013.htm'],['\nThis factsheet outlines The Farming and Food Productin Protection Act.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1097,['The Grain Financial Protection Program'],[],[],['http://www.agricorp.com/en-ca/Programs/GFPP/Pages/Overview.aspx'],['\nThe Grain Financial Protection Program protects producers who sell grains and oilseeds to licensed dealers and producers or owners who store grains and oilseeds at licensed elevators. The program has both a licensing and inspection component and a financial protection component.\n'],['\n               Ontario\n               Agricorp\n'],['\n\ncontact@agricorp.com\n\n1-888-247-4999\n'],27
1098,['The Land Cost Calculator'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/download/calc_landcost.htm'],['\nThe Land Cost Calculator is an excel worksheet that allows you to examine the cost of owning land and what you can afford to pay for it using a number of worksheets\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],27
1099,['The Loan Calculator'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/download/calc_omafloan.htm'],['\nDownload the program or access the web version of the Loan Calculator\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],27
1100,['Vegetables in the North'],['Guides/Information'],[],['https://agriculture.canada.ca/en/news-agriculture-and-agri-food-canada/scientific-achievements-agriculture/vegetables-north-aafc-government-yukon-and-farmers-northern-canada-are-researching-food-production'],"['\nAAFC, Government of Yukon and local farmers recently started a three-year research collaboration to study how temperate-climate farming technologies, such as bioplastics, can increase vegetable production and provide food security in northern climates.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-855-773-0241\n1-613-773-2600\n\naafc.info.aac@agr.gc.ca\n\n'],29
1101,['Vehicle Conversion to Natural Gas or Biogas'],['Guides/Information'],[],['https://www.ontario.ca/page/vehicle-conversion-natural-gas-or-biogas'],"['\nThis Factsheet provides information on the opportunities and limitations associated with using natural gas, biogas or biomethane as a vehicle fuel\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],29
1102,['Ventilation of Agricultural Structures'],['Guides/Information'],[],['https://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/business-market-development/structures-mechanization/ventilation-of-farm-buildings'],['\nVentilation is required to control temperature and humidity and to remove gases that are harmful to both animals and humans.\n'],['\nBritish Columbia Ministry of Agriculture\n'],['\n\nAgriServiceBC@gov.bc.ca\n\n1-888-221-7141\n'],29
1103,['Verified Beef Production Plus Program'],[],[' Across Canada '],['http://www.verifiedbeef.ca/'],"[""\nVerified Beef Production Plus (VBP+) is a voluntary, market-oriented, producer managed forward-looking program enabling Canada's beef industry to anticipate and meet emerging and growing demands for beef production systems throughout the Canadian beef value chain.\n""]",['\nVerified Beef Production Plus\n'],"['\nShannon Argent - VBP+ National Business Manager\n1-403-275-8558\n\nshannon@verifiedbeef.ca\n\n', '\nCatalina Oitzl - Renewals Coordinator\n\nrenewals@verifiedbeef.ca\n\n1-250-457-3043\n']",29
1104,['Vertebrate pests and nuisances'],['Guides/Information'],[],['https://www.alberta.ca/other-pests-and-nuisances.aspx'],['\nPrevention and control of agricultural vertebrate pests.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],29
1105,['Vertical Axis Support System'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/vasupprt.htm'],['\nInformation on vertical axis support system\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],29
1106,['Veterinary Biologics'],['Guides/Information'],[' Across Canada '],['https://inspection.gc.ca/animals/veterinary-biologics/eng/1299159403979/1320545281259'],"['\nVeterinary biologics are animal health products such as vaccines, antibody products, and in vitro diagnostic test kits that are used for the prevention, treatment, or diagnosis of infectious diseases in animals, including domestic livestock, poultry, pets, wildlife, and fish.\n']",['\nCanadian Food Inspection Agency\n'],"['\n1400 Merivale Road, Ottawa, ON, K1A 0Y9\n613-773-2342\n1-800-442-2342\n1-800-465-7735\n']",29
1107,['Veterinary Field Services'],['Guides/Information'],[],['http://www2.gnb.ca/content/gnb/en/services/services_renderer.201125.Veterinary_Field_Services.html'],"['\nProvides on-farm clinical, preventive, medical, surgical, therapeutic and emergency services on a 365 day/24 hours basis. In-clinic and laboratory services are provided to support the field services.\n']","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\nAnimal Health Services (Branch)\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-2666\n'],29
1108,['Veterinary In-clinic Services'],['Guides/Information'],[],['http://www2.gnb.ca/content/gnb/en/services/services_renderer.201124.Veterinary__In-clinic_Services.html'],"['\nProvides on-farm clinical, preventive, medical, surgical, therapeutic and emergency services on a 365 day/24 hours basis. In-clinic and laboratory services are provided to support the field services.\n']","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\nAnimal Health Services (Branch)\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-2666\n'],29
1109,['Veterinary Information Alert - Bioterrorism involving livestock'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/livestock/vet/facts/info_bioterrorism.htm'],"['This alert is not meant to cause panic or overstate the obvious. However, veterinarians and livestock owners may be the first to diagnose the early cases of a bioterrorist act in agriculture, as livestock can be sentinels of such an exposure. At the very least this note provides further points of contact for more information.']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],29
1110,['Veterinary Laboratory Services'],['Guides/Information'],[],['http://www2.gnb.ca/content/gnb/en/services/services_renderer.201126.Veterinary_Laboratory_Services.html'],"['\nThe principal focus of the laboratory is the diagnostic testing of specimens from food-producing, fur-bearing and other agricultural animal species, including horses, in support of the Provincial Veterinary Service and the development of the livestock and poultry sectors in New Brunswick.\n']","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\nAnimal Health Services (Branch)\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-2666\n'],29
1111,['Veterinary Pharmaceutical Mark-up'],[],[],['http://www2.gnb.ca/content/gnb/en/departments/10/services/services_renderer.201127.Veterinary_Pharmaceutical_Mark-up.html'],"[""\nThe Provincial Veterinary Services operates a veterinary pharmaceutical distribution centre that distributes veterinary pharmaceutical products to the Department's veterinary clinic.\n""]","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-7978\n1-506-453-5483\n'],29
1112,['Veterinary Services'],[],[],['http://www2.gnb.ca/content/gnb/en/departments/10/agriculture/content/livestock/veterinary_services.html'],"['\nDairy, beef, swine, poultry, sheep, goat, fox, mink and alternative livestock producers and horse owners are eligible for services.\n']","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-7978\n1-506-453-2108\n1-888-622-4742\n'],29
1113,['View agriculture and grazing land applications'],[],[],['https://yukon.ca/en/doing-business/support-agriculture/view-agriculture-and-grazing-land-applications'],"['\nOn our interactive map, you can view information about current applications for agriculture land and grazing land.\n']","['\nGovernment of Yukon, Agriculture Branch\n']",['\n\nland.coordinator@yukon.ca\n\n1-867-393-6222\n1-867-667-3022\n'],29
1114,['Vineland Research and Innovation Centre'],[],[],['http://www.vinelandresearch.com/'],"['\nVineland Research and Innovation Centre works with the agricultural industry, colleges, universities and other research institutions to develop the capacity of horticultural producers to grow new, high-value crop varieties, to use more efficient production processes and to find ways to increase the year-round supply of products.\n']",['\nVineland Research And Innovation Centre\n'],"['\n1-905-562-0320\n', '\n\ninfo@vinelandresearch.com\n\n']",29
1115,['Vineland Research and Innovation Centre'],[],[],['https://www.vinelandresearch.com/'],['\nResearch centre dedicated to horticultural science and innovation.\n'],['\nVineland Research and Innovation Centre\n'],"['\n4890 Victoria Avenue North, Box 4000, Vineland Station, ON, L0R 2E0\n1-905-562-0320\n\ninfo@vinelandresearch.com\n\n']",29
1116,['Vineyard Replant Program'],[],[],['https://novascotia.ca/programs/Vineyard-Replant-Program/'],['\nThe Vineyard Replant Program provides Nova Scotia wine grape growers with funding assistance to replant sections of their vineyard with recommended grape varieties. The program helps to better position Nova Scotia’s wine industry within the national and international marketplace.\n'],['\nNova Scotia Department of Agriculture\n'],['\n1-902-893-6377\n1-866-844-4276\n1-902-893-7579\n\nprm@novascotia.ca\n\n'],29
1117,['Vineyard Site Selection'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/vineyard.htm'],['\nInformation on vineyard site selection in Ontario.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\nag.info.omafra@ontario.ca\n\n1-877-424-1300\n'],29
1118,"['Viruses, Viroids and Mycoplasmas']",['Guides/Information'],[],['http://www2.gnb.ca/content/gnb/en/departments/10/agriculture/content/crops/potatoes/viruses.html'],"['\nInformation on viruses, viroids and mycoplasmas in potatoes.\n']","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\n\nDAAF-MAAP@gnb.ca\n\n1-506-392-5102\n1-506-392-5199\n1-888-622-4742\n'],29
1119,['Wage Support for Potato Exporters'],[],[],['https://www.princeedwardisland.ca/en/service/wage-support-for-potato-exporters'],['\nThe program will provide wage reimbursement to companies that maintain their staff during the border closure.\n'],['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-877-491-4766\n\nskillspei@gov.pe.ca\n\n'],29
1120,['Walnut Toxicity'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/info_walnut_toxicity.htm'],['\nThe toxicity of walnuts is discussed.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],29
